name,screen_name,time_zone,location,verified,lang,description,description_en,created_at,favourites_count,followers_count,friends_count,statuses_count,listed_count,isBot
John Martin,JohnnyMarch_,Eastern Time (US & Canada),,FALSE,en,I proud of myself. Imma black,I proud of myself. Imma black,Sat Aug 24 06:17:31 +0000 2013,1482,668,765,1431,4,1
Ken,KenCannone,Eastern Time (US & Canada),NH,FALSE,en,live your life to the fulles,live your life to the fulles,Sat Aug 24 17:04:03 +0000 2013,290,774,580,1264,9,1
Janel P.,janelperkinson,Eastern Time (US & Canada),US,FALSE,en,"Mom. Grad Student. Agnostic Atheist. Nerd. I tweet about race, politics, technology, science, etc. #BlackLiberationMovement","Mom. Grad Student. Agnostic Atheist. Nerd. I tweet about race, politics, technology, science, etc. #BlackLiberationMovement",Wed Aug 28 08:13:13 +0000 2013,1678,942,1119,1570,5,1
Matthew Caldwell,aantiracist,Eastern Time (US & Canada),"Missouri, USA",FALSE,en,"Reparations will address society's racism. Let's do more than talk about it, it's time to unite & act on this. Make Black America Great!","Reparations will address society's racism. Let's do more than talk about it, it's time to unite & act on this. Make Black America Great!",Thu Aug 29 06:17:21 +0000 2013,1785,897,735,1498,9,1
cookie monster,cookiiieeessss,Eastern Time (US & Canada),USA,FALSE,en,I eat that cookie like a monster,I eat that cookie like a monster,Thu Aug 29 22:03:28 +0000 2013,1610,678,779,1587,8,1
Brice Geller,BriceGeller,Eastern Time (US & Canada),USA,FALSE,en,"Only the strong survives! Be brave!
#StayWoke","Only the strong survives! Be brave!
#StayWoke",Tue Sep 10 09:05:55 +0000 2013,1408,711,661,1386,7,1
Cory Hale,CoryNaeNae,Eastern Time (US & Canada),USA,FALSE,en,YOUR LEADERS ARE WEAK. WE WILL CRUSH THEM. #BlackLivesMatter #PipeItUp,YOUR LEADERS ARE WEAK. WE WILL CRUSH THEM. #BlackLivesMatter #PipeItUp,Sat Sep 14 14:11:28 +0000 2013,1004,674,520,1153,5,1
Khalil Sneed,BigBoySneed,Eastern Time (US & Canada),USA,FALSE,en,Because Pro-Intellect would have been too cliche. FAMU Graduate.,Because Pro-Intellect would have been too cliche. FAMU Graduate.,Sun Sep 15 19:03:59 +0000 2013,908,555,512,1281,6,1
Brent Mcclure,BrentMcclure275,Eastern Time (US & Canada),,FALSE,en,"In bad luck, hold out; in good luck, hold in. Slow and steady wins the race and the road to a friends house is never long. #teamblack #antiracist","In bad luck, hold out; in good luck, hold in. Slow and steady wins the race and the road to a friends house is never long. #teamblack #antiracist",Mon Sep 16 22:32:27 +0000 2013,1547,646,1008,1425,6,1
Christian Ward,ChesPlaysChess,Eastern Time (US & Canada),USA,FALSE,en,"God Bless America! #Christian, #American, #Patriot, #TeaParty, #TGDN, #TCOT, #NRA, #LNYHBT, #PJNET","God Bless America! #Christian, #American, #Patriot, #TeaParty, #TGDN, #TCOT, #NRA, #LNYHBT, #PJNET",Wed Sep 18 00:47:26 +0000 2013,13474,1404,1736,15943,56,1
Patricia Cooper,Pati_Cooper,Eastern Time (US & Canada),United States,FALSE,en,Just because I am white - I am not racist. Sick of fake racism & being walked on. Conservative - Take America back. RIGHT VS WRONG - learn it!,Just because I am white - I am not racist. Sick of fake racism & being walked on. Conservative - Take America back. RIGHT VS WRONG - learn it!,Thu Sep 19 08:08:12 +0000 2013,1441,1262,1532,1898,30,1
Холодная Война 2.0,coldwar20_ru,Volgograd,"Россия, Москва",FALSE,ru,"Единственный аккаунт, проплаченный Кремлём.","The only account, paid up by the Kremlin.",Wed Feb 19 14:06:09 +0000 2014,232,44470,5300,32426,388,1
Clifton Hughes,CliftonHughes_,Eastern Time (US & Canada),United States,FALSE,en,Black people will change the world,Black people will change the world,Mon May 12 12:53:07 +0000 2014,1474,866,975,1236,8,1
Rita Hart,NotRitaHart,Eastern Time (US & Canada),Atlanta,FALSE,en,Lost in the moment,Lost in the moment,Thu May 15 15:46:10 +0000 2014,1657,1619,2802,2224,21,1
Austin,AustinLovesBeer,Eastern Time (US & Canada),USA,FALSE,en,Show me the meaning of being lonely,Show me the meaning of being lonely,Fri May 16 07:38:06 +0000 2014,1,33,41,103,4,1
New Orleans Online,NewOrleansON,Central Time (US & Canada),"New Orleans, LA",FALSE,en,"Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",Mon May 05 11:33:03 +0000 2014,33,27745,11333,44882,157,1
Kate Stafford,LazyKStafford,Volgograd,USA,FALSE,en,I'M AN AMERICAN LOVING PATRIOT-MARRIED TO A VIETNAM VET-CHRISTIAN & DEDICATED TO SAVING R FREEDOM!,I'M AN AMERICAN LOVING PATRIOT-MARRIED TO A VIETNAM VET-CHRISTIAN & DEDICATED TO SAVING R FREEDOM!,Tue May 06 17:01:42 +0000 2014,1509,2187,1818,1752,30,1
Abigail Silk,abigailssilk,Eastern Time (US & Canada),Atlanta,FALSE,en,,,Fri May 30 07:14:05 +0000 2014,846,858,629,1592,13,1
El Paso Top News,ElPasoTopNews,Central Time (US & Canada),"El Paso, Texas",FALSE,en,"El Paso top news and stories, powered 24/7","El Paso top news and stories, powered 24/7",Fri May 09 18:10:19 +0000 2014,2,14648,5033,8050,34,1
Dominic Valentine,DominicValent,Eastern Time (US & Canada),US,FALSE,en,Try to be a rainbow in someone's cloud,Try to be a rainbow in someone's cloud,Sat May 31 03:02:31 +0000 2014,2445,2569,3072,2775,22,1
Cincinnati Today,TodayCincinnati,Central Time (US & Canada),"Cincinnati, OH",FALSE,en,"Cincinnati's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","Cincinnati's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM",Mon Jun 02 09:58:20 +0000 2014,1,16483,9184,15189,141,1
James Cox,JmsCoxxx,Eastern Time (US & Canada),USA,FALSE,en,"After all is said and done, a lot more will have been said than done","After all is said and done, a lot more will have been said than done",Tue Jun 03 14:28:36 +0000 2014,506,1302,2407,1652,6,1
Boston Today,TodayBostonMA,Eastern Time (US & Canada),"Boston, USA",FALSE,en,"Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM","Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",Sun Jun 08 11:20:43 +0000 2014,3,15376,8840,15425,153,1
Rick Irwin,DickyIrwin,Eastern Time (US & Canada),USA,FALSE,en,Well done is better than well said,Well done is better than well said,Tue Jun 10 17:33:37 +0000 2014,2056,2033,3105,2309,34,1
Seattle Post,Seattle_Post,Central Time (US & Canada),"Seattle, WA",FALSE,en,"Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share","Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share",Sun Jun 15 11:14:44 +0000 2014,17,17222,5254,27013,201,1
Houston Top News,HoustonTopNews,Central Time (US & Canada),"Houston, TX",FALSE,en,"Houston top news and stories, powered 24/7","Houston top news and stories, powered 24/7",Sat Jun 21 09:32:57 +0000 2014,14,16678,9562,20564,115,1
San Diego Daily,DailySanDiego,Pacific Time (US & Canada),"San Diego, CA",FALSE,en,"Follow for San Diego's breaking news, special reports, entertainment and more from @DailySanDiego","Follow for San Diego's breaking news, special reports, entertainment and more from @DailySanDiego",Sun Jun 22 08:43:22 +0000 2014,2,15702,5435,18733,219,1
Dallas Top News,DallasTopNews,Central Time (US & Canada),"Dallas, Texas",FALSE,en,"Dallas top news and stories, powered 24/7","Dallas top news and stories, powered 24/7",Sat Jul 05 13:33:55 +0000 2014,6,18843,7664,19714,151,1
Atlanta Online,Atlanta_Online,Eastern Time (US & Canada),"Atlanta, GA",FALSE,en,"Breaking news, weather, traffic and more for Atlanta and Georgia. DM us anytime. RTs not endorsements","Breaking news, weather, traffic and more for Atlanta and Georgia. DM us anytime. RTs not endorsements",Sat Dec 27 08:26:11 +0000 2014,7,17346,9424,12995,140,1
Miami Today,TodayMiami,Eastern Time (US & Canada),"Miami, FL",FALSE,en,"Miami's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM","Miami's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",Sat Dec 27 10:32:25 +0000 2014,3,18832,9705,8218,117,1
Tatiana Maksimova,enTatjanaMax,Volgograd,"Brussel, België",FALSE,ru,I'm scandinavian traveller and blogger.Also I write about politics EU.,I'm scandinavian traveller and blogger.Also I write about politics EU.,Mon Mar 09 18:17:01 +0000 2015,14349,609,2326,6946,50,1
Oakland Online,OaklandOnline,Pacific Time (US & Canada),"Oakland, CA",FALSE,en,"Breaking news, weather, traffic and more for Oakland. DM us anytime. RTs not endorsements","Breaking news, weather, traffic and more for Oakland. DM us anytime. RTs not endorsements",Wed Mar 11 22:07:13 +0000 2015,0,12147,10232,14867,183,1
Jackson City Post,JacksonCityPost,Eastern Time (US & Canada),"Jackson, MS",FALSE,en,#CityOfJackson #Jackson #USA #America #US,#CityOfJackson #Jackson #USA #America #US,Mon Mar 09 06:35:04 +0000 2015,0,2643,2074,6308,56,1
Kelvin Sok,kelvsok,Eastern Time (US & Canada),"New York, NY",FALSE,en,I like to go to parties and talk about memes,I like to go to parties and talk about memes,Mon Mar 16 02:23:12 +0000 2015,8,0,1,165,0,1
Nataly Turner,nataturn,Eastern Time (US & Canada),"New York, NY",FALSE,en,,,Fri Mar 20 02:37:16 +0000 2015,1,6,15,173,1,1
Вестник Дамаска,NovostiDamask,Volgograd,,FALSE,ru,,,Wed Sep 30 13:21:07 +0000 2015,3,20247,2784,8500,237,1
Being Patriotic,patriototus,Eastern Time (US & Canada),"Texas, USA",FALSE,en,"Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",Wed Oct 21 13:27:31 +0000 2015,2011,11811,9265,1706,58,1
Patriot Archive,Patriot_Archive,Pacific Time (US & Canada),,FALSE,en,American history in quotes & videos. Mostly politics.,American history in quotes & videos. Mostly politics.,Tue Nov 03 07:44:50 +0000 2015,269,7669,7109,609,35,1
People For Justice!,MissouriNewsUS,Pacific Time (US & Canada),,FALSE,en,#NeverHillary,#NeverHillary,Tue Nov 17 09:29:58 +0000 2015,143,5550,5377,1407,84,1
Luke Jones,Luke_Jones13,Pacific Time (US & Canada),,FALSE,en,A silent American patriot who was awoken by Donald Trump’s call to Make America Great Again.,A silent American patriot who was awoken by Donald Trump’s call to Make America Great Again.,Tue Nov 17 12:39:45 +0000 2015,15,2960,1693,286,12,1
,RealTEN_GOP,,,,,,,,,,,,,1
,March_for_Trump,,,,,,,,,,,,,1
New Jersey Black,nj_blacknews,Pacific Time (US & Canada),"New Jersey, USA",FALSE,en,Latest and most important news about New Jersey black community,Latest and most important news about New Jersey black community,Fri Nov 20 10:38:26 +0000 2015,40,2820,1890,451,44,1
Red Louisiana News,redlanews,Pacific Time (US & Canada),"Lafayette, LA",FALSE,en,Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,Thu Nov 19 11:53:45 +0000 2015,360,9767,8729,1530,48,1
Telah Blac,blacneighbor,Pacific Time (US & Canada),,FALSE,en,,,Thu Nov 19 12:39:39 +0000 2015,74,2458,2176,1179,40,1
Jeblary Bushton,Jeblary2016,Pacific Time (US & Canada),,FALSE,en,2016 US presidential candidate,2016 US presidential candidate,Fri Nov 27 20:33:47 +0000 2015,0,8462,6347,1176,115,1
American Muslims,MUSLIMS_IN_USA,Pacific Time (US & Canada),,FALSE,en,,,Wed Jan 13 15:18:18 +0000 2016,107,2471,1787,649,11,1
ОнлиВан,OooonlyOne,Baku,,FALSE,ru,,,Wed Mar 26 18:11:00 +0000 2014,721,112,150,1205,2,1
Остров,OstrovOfficer,Moscow,Москва,FALSE,ru,Я смешной (всегда смеюсь над своими шутками),I'm funny (always laugh at his jokes),Fri May 16 09:48:18 +0000 2014,2929,241,310,1616,3,1
Данила Маслов,DannyMaslov,Baku,"Saint Petersburg, Russia",FALSE,ru,"Люблю хоккей, слежу за политикой #hcSKA","I love hockey, I watch politics #hcSKA",Tue Apr 29 14:37:32 +0000 2014,313,149,643,376,1,1
newtime,gffgfsfgfsdffjj,Volgograd,,FALSE,ru,,,Sun May 04 18:24:06 +0000 2014,1844,152,249,828,8,1
Фрида,OH_Frida,Volgograd,,FALSE,ru,"Нет ничего дороже смеха, с его помощью можно оторваться от себя, стать невесомой.","There is nothing more laughter, you can use it to break away from himself, to become weightless.",Fri May 09 10:29:55 +0000 2014,3057,95,120,1703,1,1
Stuart O'Shaughnessy,Shocko_10,,,FALSE,en,,,Tue Jun 03 21:00:25 +0000 2014,422,79,216,1914,3,1
Хоррор,HorrorKi,Volgograd,,FALSE,ru,"Обещания дают, чтобы нарушать, чтобы
разрушать, разбивать вдребезги, на мелкие
кусочки, дробить","Promises to give to break to
destroy, shatter into small
pieces, crush",Sat Jun 14 23:33:22 +0000 2014,2096,84,343,1778,1,1
Микки Улыбается,MikkyRurk,Moscow,,FALSE,ru,HA HA HA HA HA HA HA HA,HA HA HA HA HA HA HA HA,Fri Jun 20 08:34:22 +0000 2014,2655,76,34,1433,3,1
Том Рони,Zistti,Volgograd,,FALSE,ru,Хочется выпить.,I would like to drink.,Fri Jun 20 16:02:54 +0000 2014,2178,76,323,1463,1,1
Люсик Винкова,LysikVinkova,Moscow,Мурманск,FALSE,ru,активистка,activist,Fri Jun 20 18:20:57 +0000 2014,720,2347,49,636,0,1
Аркадий Трофимов,arkadii_trofim,Volgograd,Ватноград,FALSE,ru,"Может жизнь в России и не легка, но я люблю эту страну...","Maybe life in Russia is not easy, but I love this country ...",Sun Jun 22 18:10:21 +0000 2014,1089,2096,261,1549,4,1
Лила Горила,Lila_Gorila,Volgograd,Москва,FALSE,ru,"Я же росла нормальным ребенком, дальше чё случилось-то?","I grew up a normal child, then Che happened?",Tue Jun 24 19:44:26 +0000 2014,2634,85,251,1884,0,1
Максим Дементьев,MaxDementiev,Yerevan,,FALSE,ru,Мне не всё равно,I care,Sun Sep 14 06:20:01 +0000 2014,3619,98412,94,30624,166,1
Ять тв,YatTVRussia,,Санкт-Петербург,FALSE,ru,Группа самоотверженных и весьма независимых аниматоров.,A group of dedicated and highly independent animators.,Thu Jan 22 13:49:05 +0000 2015,496,289,502,378,5,1
Olga,Leecory,St. Petersburg,St-Petersburg,FALSE,ru,here i am~,here i am~,Sat May 09 15:58:34 +0000 2009,0,14,6,219,0,1
Максим Благинин,MaksBlaginin,Moscow,Омск,FALSE,ru,"Мила нам добра весть о нашей стороне
Отечества и дым нам сладок.","Mila us good news of our side
Fatherland and the smoke is sweet to us.",Wed Apr 30 19:27:41 +0000 2014,65,4749,84,223,1,1
тебе пиздец,TebePizdec,Eastern Time (US & Canada),,FALSE,ru,это полный пиздец/18+/уёбывай,it is a complete fucking / 18 + / uobyvay,Sat May 03 14:55:01 +0000 2014,292,6360,1265,1325,12,1
Борис Красильников,KrasilnikovBor,Volgograd,"Москва, Россия",FALSE,ru,"Михаил Лермонтов со шведскими корнями и Александр Пушкин с африканскими корнями были более русскими, чем многие чистокровки",Mikhail Lermontov with Swedish roots and Alexander Pushkin with African roots were more Russian than many thoroughbreds,Tue May 06 08:28:57 +0000 2014,167,329,264,287,15,1
Bantta,BanttaNantta,Moscow,,FALSE,ru,"Я уеду жить в свитер,
И возьму с собой бутер","I'll go live in a sweater,
And I take Butera",Fri May 09 15:34:38 +0000 2014,175,94,278,119,0,1
Илья Рогов,RogovIlia,Volgograd,Москва,FALSE,ru,"Справедливость доблесть избранных натур, правдивость долг каждого порядочного человека","Justice valor elect natures, truthfulness duty of every decent person",Mon May 12 12:09:09 +0000 2014,31,2305,52,208,0,1
Красти Псих,KrustyPs,Volgograd,Красти Бургер,FALSE,ru,,,Fri Jun 20 23:02:55 +0000 2014,73,186,323,63,0,1
PoliceState,PoliceStateMe,Pacific Time (US & Canada),,FALSE,en,,,Thu Sep 10 10:48:51 +0000 2015,58,1468,2092,611,10,1
أخبار عاجلة من سوريا,MidEastView,Muscat,,FALSE,en,#اخبار عاجلة ومهمة حول الحرب والسلم في #سوريا,# News urgent and important about the war and peace in Syria #,Thu Oct 08 14:34:01 +0000 2015,4,2933,1655,10983,3,1
Одинокий Джордж,anzgri,Moscow,,FALSE,ru,Никто.,No one.,Thu Nov 05 01:44:48 +0000 2009,75,1267,36,61735,111,1
Lindsey Rodriguez,LynsRodriguez,Eastern Time (US & Canada),,FALSE,en,Amateur travel fanatic,Amateur travel fanatic,Mon Jun 10 04:06:20 +0000 2013,629,785,1015,1189,14,1
Meggie O'Neil,MeggieONeil,Eastern Time (US & Canada),portland,FALSE,en,love yourself or no one will love you,love yourself or no one will love you,Sat Jul 27 17:56:57 +0000 2013,1572,955,2020,1594,13,1
Edmund Ragland,EdmundRJr,Eastern Time (US & Canada),"Brooklyn, NY",FALSE,en,"EAT,SLEEP,BLEED MUSIC. BROOKLYN BRED, HOME FED. TALK SHIT AT YOUR OWN RISK!! WELCOME TO THE DANGER ZONE.","EAT,SLEEP,BLEED MUSIC. BROOKLYN BRED, HOME FED. TALK SHIT AT YOUR OWN RISK!! WELCOME TO THE DANGER ZONE.",Mon Aug 26 10:32:18 +0000 2013,863,536,588,1087,5,1
Маргарита Бероева,margoberoeva,Nairobi,Москва,FALSE,ru,пишу учебник по истории моды,I write a textbook on the history of fashion,Sun Mar 23 18:39:44 +0000 2014,846,285,251,6109,4,1
Donna Miller,DonnieLMiller,Eastern Time (US & Canada),LA,FALSE,en,stars are mine,stars are mine,Fri May 09 16:45:06 +0000 2014,1239,1363,2565,2094,20,1
Gloris Glaze,heyitsglor,Eastern Time (US & Canada),United States,FALSE,en,What's up?,What's up?,Mon Jun 02 09:33:38 +0000 2014,14,74,206,14,0,1
РИА ФАН,riafanru,Minsk,Россия,FALSE,ru,"ВКонтакте: https://vk.com/riafan
Facebook: https://www.facebook.com/riafanru
Одноклассники: http://ok.ru/fannews","VKontakte: https://vk.com/riafan
Facebook: https://www.facebook.com/riafanru
Classmates: http://ok.ru/fannews",Mon Jun 16 09:08:53 +0000 2014,0,11370,2908,57212,80,1
Николай Зубов,zubovnik,Volgograd,Москва,FALSE,ru,Журналист и блогер,Journalist and blogger,Thu Jun 26 12:46:20 +0000 2014,410,26002,657,19641,155,1
Pigeon Today,PigeonToday,Eastern Time (US & Canada),United States,FALSE,en,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.","America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",Tue Dec 09 13:45:21 +0000 2014,1344,29524,21248,15665,240,1
Malcolm,mbrownhere,,,FALSE,en,,,Fri Jun 05 06:17:08 +0000 2015,154,19,237,119,1,1
Instotus,instotus,Pacific Time (US & Canada),,FALSE,en,"This is a community for everyone whose heart is with America. Don't be a stranger, be a patriot! Follow us!","This is a community for everyone whose heart is with America. Don't be a stranger, be a patriot! Follow us!",Fri Oct 23 08:37:36 +0000 2015,613,4516,4741,581,23,1
Global Enemy,GlobalFoe,Pacific Time (US & Canada),Cosmopolitanism,FALSE,en,Designed at unveiling roots of failed attempts to solve global problems #SeeGlobalFoe,Designed at unveiling roots of failed attempts to solve global problems #SeeGlobalFoe,Fri Dec 11 03:30:25 +0000 2015,198,1294,2797,493,28,1
Chris Port,chrisuport_port,Berlin,"Hessen, Deutschland",FALSE,de,"Tierarzt;Mag CauntryMusic und Basketball; Politikaktiv, Hashtag-Spieler. Hat 2 Tochter und 3 Enkel","Veterinarian Mag CauntryMusic and basketball; Politics Active, hashtag player. Has two daughter and three grandchildren",Thu May 19 12:29:34 +0000 2016,3005,3178,3866,741,29,1
Darrell Hunt,Darrell_H_Hunt,,,FALSE,en,,,Tue Jul 12 20:38:02 +0000 2016,0,1,46,1,0,1
Margareth Kurz,MargarethKurz,Bern,,FALSE,de,,,Wed Jul 13 13:10:02 +0000 2016,21,6,136,250,2,1
Andreas Stern,sternandreas404,Madrid,,FALSE,de,,,Tue Jul 05 16:35:35 +0000 2016,28,17,149,253,2,1
Карточный Домик,WhiteHouseCards,Moscow,"Washington, DC",FALSE,ru,"«Я всегда считал, что власть важнее денег, но когда доходит до выборов, именно деньги обеспечивают власть»","""I have always believed that power is more important than money, but when it comes to elections, it provides money power""",Fri May 13 14:05:42 +0000 2016,0,9426,3047,385,10,1
Арсений или Роман,Arseni_Roman,Moscow,,FALSE,ru,У меня черный пояс по сарказму.,I have a black belt in sarcasm.,Sat Mar 22 19:35:29 +0000 2014,3234,72,241,1281,4,1
Сестра Джуд Мартин,Bratuha_Borcuha,Moscow,,FALSE,ru,,,Wed May 07 12:57:38 +0000 2014,2048,90,226,1131,1,1
Брови Брежнева,bydrbre_,Moscow,,FALSE,ru,"секси-генсекси.  #бровибрежнева снова в деле.       МЫ ВЕРНУЛИСЬ!
Брови Вконтакте - http://vk.com/bydrbre","sexy genseksi. # Brovibrezhneva back in business. WE HAVE RETURNED!
Eyebrows Vkontakte - http://vk.com/bydrbre",Thu May 26 11:10:56 +0000 2016,96,14353,6565,1035,19,1
Erdollum,erdollum,Berlin,,FALSE,de,"Keiner kann uns verbieten, uns so zu äußern, wie wir es wollen! Wir sind für die Meinungsfreiheit!",No one can forbid us to express ourselves the way we want it! We are for freedom of expression!,Fri Apr 22 08:55:14 +0000 2016,2986,5811,4845,2556,45,1
спектор,inspectAn,Volgograd,Москва,FALSE,ru,Бывал на других планетах,I have been on other planets,Wed Jun 25 22:18:20 +0000 2014,1590,129,211,950,4,1
Markiya,internalmemer,,the corner of happy & healthy,FALSE,en,sour. salty. bitter.,sour. salty. bitter.,Mon Jun 27 08:22:09 +0000 2016,17113,92,74,3871,3,1
Psycho,krivelev_law,Moscow,,FALSE,ru,"Если смех продлевает жизнь, то я бессмертный","If laughter prolongs life, I am immortal",Tue Apr 29 06:33:00 +0000 2014,1214,115,371,646,3,1
Твоя Харли,med_Harley,Volgograd,,FALSE,ru,,,Thu Jun 12 09:21:46 +0000 2014,1461,88,518,1321,0,1
Миллениум,MiliMillennium,Volgograd,,FALSE,ru,"План действий на сегодня:
1. Проебать день
2. Лечь спать","Today the plan of action:
1. squander day
2. go to bed",Thu Jun 19 16:41:05 +0000 2014,2450,88,108,1807,0,1
Кортон,MrServelat,Moscow,,FALSE,ru,Редкий покемон,rare pokemon,Wed Apr 30 15:34:20 +0000 2014,2491,98,240,1564,0,1
Лама Нана,nana_lama,Volgograd,Москва,FALSE,ru,"Ты меня хотя бы набери, а лучше забери.","You got me at least, dial, and take away the best.",Sat May 03 13:40:08 +0000 2014,2698,140,430,1727,2,1
ПолитОпрос,PolitOpros,Moscow,,FALSE,ru,Общероссийская репрезентативная выборка для соцопросов составляет 1600 человек,Russian representative sample for social surveys is 1600 people,Wed May 07 20:12:29 +0000 2014,13,19678,3695,653,48,1
Шикарный,ShikarnoeL,Volgograd,Омск,FALSE,ru,"только те люди, которые мне нравятся, могут трогать мои волосы","Only those people who like me, can touch my hair",Wed Jun 18 23:01:57 +0000 2014,1790,87,349,1288,2,1
Котик&Енотик,TtlenLen,Moscow,СПб,FALSE,ru,,,Wed Apr 23 18:33:49 +0000 2014,2678,120,115,2040,0,1
WorldNewsPolitics,WorldnewsPoli,,Estados Unidos,FALSE,es,"All major information policy in the world, we are ready to give you the most accurate and timely information in the field of politics and economics","All major information policy in the world, we are ready to give you the most accurate and timely information in the field of politics and economics",Fri Oct 21 00:44:43 +0000 2016,0,1957,4755,638,4,1
19:37,4ever1937,,,FALSE,ru,"Утром кормили: хлеб, кипяток. Мне еще хлеба не полагалось","In the morning feeding: bread, boiled water. I was not supposed to even bread",Fri Jul 01 13:26:09 +0000 2016,21,4476,380,33,0,1
Andreas Eulitz,AndreasEulitz,London,,FALSE,de,,,Wed Jul 06 12:58:51 +0000 2016,46,9,95,98,1,1
Angela Lattke,angela_lattke,Bern,,FALSE,de,#USA and #Deutdchland - friends 4rever! #TTIP,#USA and #Deutdchland - friends 4rever! #TTIP,Tue Jul 12 11:19:29 +0000 2016,59,14,90,231,1,1
Nils Berkhoff,berkhoff85,Berlin,"Berlin, Deutschland",FALSE,de,"Ich  interessiere mich für #Politik, #SPD, #Wirtschaft und Internationale Beziehungen. In der Freizeit spiele ich Fußball und bin mit meiner Familie gern.","I am interested in #Politik, #SPD, #Wirtschaft and International Relations. In free time I play football and I'm with my family likes.",Tue Mar 29 07:48:38 +0000 2016,816,1753,3179,1041,30,1
Berlin Bote,BerlinBote,Bern,,FALSE,de,,,Wed Apr 27 12:48:46 +0000 2016,0,8,0,6804,7,1
Blacktivist,Blacktivists,Pacific Time (US & Canada),,FALSE,en,Non-Governmental Organization (NGO),Non-Governmental Organization (NGO),Sun Apr 10 21:25:34 +0000 2016,21,2404,1424,710,36,1
Валерий Бреусов,briys_valera,Baku,"Moscow, Russia",FALSE,en,"Любите душу, а не то, что снаружи.","Love the soul, not what is outside.",Tue Mar 11 09:47:20 +0000 2014,498,91,53,1078,0,1
Chaotic Neutral,ChaNeutral,,United States,FALSE,en,What makes a man turn neutral... Lust for gold? Power? Or were you just born with a heart full of neutrality?,What makes a man turn neutral... Lust for gold? Power? Or were you just born with a heart full of neutrality?,Sun Jul 31 18:56:16 +0000 2016,0,1,55,16,0,1
Maria Fischer,fischermaria933,Berlin,,FALSE,de,,,Tue Jul 12 13:53:59 +0000 2016,135,17,75,217,1,1
GEO Review,GeoreviewEurope,Pacific Time (US & Canada),,FALSE,en,,,Fri Jul 22 18:17:31 +0000 2016,3,37,281,16,0,1
Лана Дель Роджер,gorelkinnn,Moscow,Москва,FALSE,ru,любитель всяких глупостей,a fan of stupid,Thu Jun 26 03:43:22 +0000 2014,2029,98,340,999,1,1
InstVets,inst_vets,,,FALSE,en,,,Sat Feb 27 19:58:12 +0000 2016,3,2618,4244,184,13,1
Jihadist Wife,Jihadist2ndWife,Pacific Time (US & Canada),Islamic States of America,FALSE,en,Wife of an ISIS terrorist. Enjoying submission to my husband and absence of women rights.   THIS IS SATIRICAL ACCOUNT NOT CONNECTED WITH ISIS!,Wife of an ISIS terrorist. Enjoying submission to my husband and absence of women rights.   THIS IS SATIRICAL ACCOUNT NOT CONNECTED WITH ISIS!,Sun Apr 10 21:49:41 +0000 2016,1036,5081,3797,1071,51,1
Джонни Морган,Jorda_Morgan,Volgograd,,FALSE,ru,"У людей период сейчас такой...
Либо Есенин.
Либо Каспийский.","In humans, this period is now ...
Or Yesenin.
Or the Caspian.",Sat Jun 07 15:13:07 +0000 2014,1371,67,104,738,0,1
LGBT United,LGBTuni,,,FALSE,en,"We speak for all fellow members of LGBT community across the nation.
Gender preference does not define you. Your spirit defines you.","We speak for all fellow members of LGBT community across the nation.
Gender preference does not define you. Your spirit defines you.",Tue Jul 12 21:09:28 +0000 2016,0,338,262,453,3,1
LinaLuna,Lmarinays,Volgograd,,FALSE,ru,НЛО,UFO,Sat Mar 24 20:41:43 +0000 2012,627,785,202,9394,3,1
Lukas Rösler,lukas_rosler,Berlin,,FALSE,de,,,Mon Apr 04 09:23:23 +0000 2016,1270,1217,3067,1212,14,1
Maxime Garon,maximgaron1,Paris,Paris,FALSE,fr,"Né à #Paris, je m'interesse des affaires étrangères. Tu peux trouver ici les #nouvelles récentes, n'hésitez pas à partager vos pensées. #Syrie","Born in #Paris I am interested in foreign affairs. You can find the latest #nouvelles here, feel free to share your thoughts. #Syria",Fri Oct 09 07:46:20 +0000 2015,31,82,522,1024,1,1
darya medovaya,mmmdarya,Pacific Time (US & Canada),,FALSE,ru,,,Thu Aug 11 09:16:25 +0000 2016,249,3263,380,248,0,1
